commit,refactoring_type,description,file_path,class
66b538f03690c34eae6c74086207b472e8f5c55c,Rename Parameter,"Rename Parameter destAddress : String to phone : String in method private preparePayload(phone String, message String) : String from class org.traccar.sms.HttpSmsClient",src/main/java/org/traccar/sms/HttpSmsClient.java,org.traccar.sms.HttpSmsClient
66b538f03690c34eae6c74086207b472e8f5c55c,Rename Parameter,"Rename Parameter destAddress : String to phone : String in method private preparePayload(phone String, message String) : String from class org.traccar.sms.HttpSmsClient",src/main/java/org/traccar/sms/HttpSmsClient.java,org.traccar.sms.HttpSmsClient
66b538f03690c34eae6c74086207b472e8f5c55c,Rename Parameter,"Rename Parameter destAddress : String to phone : String in method public sendMessage(phone String, message String, command boolean) : void from class org.traccar.sms.HttpSmsClient",src/main/java/org/traccar/sms/HttpSmsClient.java,org.traccar.sms.HttpSmsClient
66b538f03690c34eae6c74086207b472e8f5c55c,Rename Parameter,"Rename Parameter destAddress : String to phone : String in method public sendMessage(phone String, message String, command boolean) : void from class org.traccar.sms.HttpSmsClient",src/main/java/org/traccar/sms/HttpSmsClient.java,org.traccar.sms.HttpSmsClient
66b538f03690c34eae6c74086207b472e8f5c55c,Rename Parameter,"Rename Parameter destAddress : String to phone : String in method public sendMessage(phone String, message String, command boolean) : void from class org.traccar.sms.SmsManager",src/main/java/org/traccar/sms/SmsManager.java,org.traccar.sms.SmsManager
66b538f03690c34eae6c74086207b472e8f5c55c,Rename Parameter,"Rename Parameter destAddress : String to phone : String in method public sendMessage(phone String, message String, command boolean) : void from class org.traccar.sms.SnsSmsClient",src/main/java/org/traccar/sms/SnsSmsClient.java,org.traccar.sms.SnsSmsClient
66b538f03690c34eae6c74086207b472e8f5c55c,Rename Parameter,"Rename Parameter destAddress : String to phone : String in method public sendMessage(phone String, message String, command boolean) : void from class org.traccar.sms.SnsSmsClient",src/main/java/org/traccar/sms/SnsSmsClient.java,org.traccar.sms.SnsSmsClient
6c82fc6fab45a46f4a09633e2c6f4f1540bb8759,Change Attribute Type,Change Attribute Type computedAttributesHandler : ComputedAttributesHandler to computedAttributesHandler : ComputedAttributesHandler.Late in class org.traccar.api.resource.AttributeResource,src/main/java/org/traccar/api/resource/AttributeResource.java,org.traccar.api.resource.AttributeResource
6c82fc6fab45a46f4a09633e2c6f4f1540bb8759,Add Parameter,"Add Parameter early : boolean in method public ComputedAttributesHandler(config Config, cacheManager CacheManager, early boolean) from class org.traccar.handler.ComputedAttributesHandler",src/main/java/org/traccar/handler/ComputedAttributesHandler.java,org.traccar.handler.ComputedAttributesHandler
6c82fc6fab45a46f4a09633e2c6f4f1540bb8759,Add Parameter,"Add Parameter early : boolean in method public ComputedAttributesHandler(config Config, cacheManager CacheManager, early boolean) from class org.traccar.handler.ComputedAttributesHandler",src/main/java/org/traccar/handler/ComputedAttributesHandler.java,org.traccar.handler.ComputedAttributesHandler
6c82fc6fab45a46f4a09633e2c6f4f1540bb8759,Remove Method Annotation,"Remove Method Annotation @Inject in method public ComputedAttributesHandler(config Config, cacheManager CacheManager) from class org.traccar.handler.ComputedAttributesHandler",src/main/java/org/traccar/handler/ComputedAttributesHandler.java,org.traccar.handler.ComputedAttributesHandler
d12403926bede0a55c5c01099fe72769f51f62c9,Rename Variable,"Rename Variable alarmExtension : short to extension : short in method private decodeBasic(channel Channel, remoteAddress SocketAddress, buf ByteBuf) : Object from class org.traccar.protocol.Gt06ProtocolDecoder",src/main/java/org/traccar/protocol/Gt06ProtocolDecoder.java,org.traccar.protocol.Gt06ProtocolDecoder
d12403926bede0a55c5c01099fe72769f51f62c9,Rename Variable,"Rename Variable alarmExtension : short to extension : short in method private decodeBasic(channel Channel, remoteAddress SocketAddress, buf ByteBuf) : Object from class org.traccar.protocol.Gt06ProtocolDecoder",src/main/java/org/traccar/protocol/Gt06ProtocolDecoder.java,org.traccar.protocol.Gt06ProtocolDecoder
d12403926bede0a55c5c01099fe72769f51f62c9,Rename Variable,"Rename Variable alarmExtension : short to extension : short in method private decodeBasic(channel Channel, remoteAddress SocketAddress, buf ByteBuf) : Object from class org.traccar.protocol.Gt06ProtocolDecoder",src/main/java/org/traccar/protocol/Gt06ProtocolDecoder.java,org.traccar.protocol.Gt06ProtocolDecoder
e6c3d52e909bb4be9ee2ac8ba4ba9732cfa4c382,Change Variable Type,Change Variable Type e : StorageException to e : Exception in method public run() : void from class org.traccar.schedule.TaskReports,src/main/java/org/traccar/schedule/TaskReports.java,org.traccar.schedule.TaskReports
e6c3d52e909bb4be9ee2ac8ba4ba9732cfa4c382,Change Variable Type,Change Variable Type e : StorageException to e : Exception in method public run() : void from class org.traccar.schedule.TaskReports,src/main/java/org/traccar/schedule/TaskReports.java,org.traccar.schedule.TaskReports
1cc23f405cdb79671ca1deefb1de4b5378be5d0f,Extract Method,"Extract Method package encodeContent(receiver int, sender int, content ByteBuf) : ByteBuf extracted from private sendResponse(channel Channel, remoteAddress SocketAddress, receiver int, sender int, content ByteBuf) : void in class org.traccar.protocol.NavtelecomProtocolDecoder",src/main/java/org/traccar/protocol/NavtelecomProtocolDecoder.java,org.traccar.protocol.NavtelecomProtocolDecoder
1cc23f405cdb79671ca1deefb1de4b5378be5d0f,Extract Method,"Extract Method package encodeContent(receiver int, sender int, content ByteBuf) : ByteBuf extracted from private sendResponse(channel Channel, remoteAddress SocketAddress, receiver int, sender int, content ByteBuf) : void in class org.traccar.protocol.NavtelecomProtocolDecoder",src/main/java/org/traccar/protocol/NavtelecomProtocolDecoder.java,org.traccar.protocol.NavtelecomProtocolDecoder
